,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
294,mahajanga,75.0,MG,1514052000.0,83,-17.00,45.01,82.4,7.02
295,naze,48.0,JP,1514053374.0,96,26.76,131.85,74.7,3.89
296,punta arenas,75.0,CL,1514048400.0,50,-59.78,-93.74,53.6,41.38
298,tuatapere,20.0,NZ,1514053380.0,92,-55.24,157.21,59.1,9.37
299,hovd,75.0,MN,1514051400.0,80,46.24,102.94,35.6,9.17
300,port alfred,88.0,ZA,1514053156.0,91,-67.15,43.02,68.6,9.64
301,buin,0.0,PG,1514048400.0,21,-8.34,153.03,84.2,13.87
302,atar,0.0,MR,1514053378.0,16,22.87,-14.66,63.9,10.6
303,new norfolk,75.0,AU,1514052000.0,71,-46.60,143.02,51.8,10.29
304,mataura,0.0,PF,1514053334.0,81,-72.91,-147.07,49.9,3.38
306,katsuura,76.0,JP,1514053382.0,93,18.71,150.70,36.6,3.04
307,ushuaia,75.0,AR,1514048400.0,58,-82.69,-57.03,53.6,11.41
308,bluff,0.0,NZ,1514053341.0,74,-80.81,163.82,71.9,6.4
309,maningrida,100.0,AU,1514053382.0,86,-9.04,133.35,81.7,17.43
310,genhe,0.0,CN,1514053382.0,65,50.46,121.65,-16.5,4.79
311,airai,68.0,PW,1514053343.0,94,12.92,134.22,69.1,1.59
312,middlebury,90.0,US,1514051940.0,100,44.14,-73.45,35.6,3.36
313,airai,68.0,PW,1514053343.0,94,18.60,144.76,69.1,1.59
316,jalu,0.0,LY,1514053379.0,60,26.55,22.76,56.4,12.17
317,yar-sale,80.0,RU,1514053384.0,95,72.24,74.02,18.1,10.76
318,grand gaube,40.0,MU,1514052000.0,94,-13.88,67.62,75.2,6.93
319,hermanus,0.0,ZA,1514053325.0,70,-79.49,10.54,64.2,2.59
320,kruisfontein,12.0,ZA,1514053385.0,85,-60.37,26.98,64.8,10.87
321,hobart,75.0,AU,1514052000.0,71,-70.45,139.77,51.8,10.29
322,norman wells,40.0,CA,1514052000.0,76,87.83,-115.50,-5.8,2.24
323,rikitea,100.0,PF,1514053325.0,100,-70.28,-134.24,77.3,10.54
324,souillac,90.0,MU,1514052000.0,76,-28.89,62.24,50.0,4.7
325,alta floresta,80.0,BR,1514053385.0,79,-9.77,-54.88,82.8,2.89
327,veraval,90.0,IN,1514052000.0,100,17.71,67.75,48.2,6.93
328,rikitea,100.0,PF,1514053325.0,100,-26.06,-141.15,77.3,10.54
329,torbay,90.0,CA,1514052000.0,92,49.48,-48.49,26.6,6.93
330,rikitea,100.0,PF,1514053325.0,100,-34.13,-118.85,77.3,10.54
331,verkhnyaya sinyachikha,64.0,RU,1514053386.0,73,58.10,61.89,17.4,7.02
332,hamilton,75.0,BM,1514051700.0,64,28.75,-68.56,71.6,11.41
333,adrar,0.0,DZ,1514052000.0,22,31.52,-0.57,55.4,6.93
334,mar del plata,0.0,AR,1514053348.0,34,-54.45,-37.25,67.7,14.79
336,san patricio,92.0,MX,1514053387.0,100,13.24,-111.86,75.4,3.04
337,karratha,12.0,AU,1514053387.0,80,-20.04,113.56,78.7,6.91
338,cabo san lucas,20.0,MX,1514051220.0,38,9.82,-124.10,75.2,16.11
339,ushuaia,75.0,AR,1514048400.0,58,-72.88,-37.94,53.6,11.41
340,albany,90.0,AU,1514052540.0,93,-66.10,122.42,39.2,5.73
341,vaini,0.0,TO,1514053340.0,64,-34.80,-174.87,64.0,3.89
342,nome,1.0,US,1514051700.0,61,72.52,-165.61,51.8,9.17
343,khatanga,0.0,RU,1514053388.0,64,89.76,107.63,-34.5,3.49
344,busselton,0.0,AU,1514053329.0,100,-65.02,98.54,67.6,18.21
345,ostrovnoy,24.0,RU,1514053387.0,76,69.72,38.41,14.1,10.16
346,westport,75.0,NZ,1514050200.0,87,-37.83,168.39,51.8,11.41
347,cap-aux-meules,75.0,CA,1514052000.0,73,47.97,-61.99,26.6,9.17
348,castro,68.0,CL,1514053327.0,69,-46.05,-97.42,56.5,4.34
350,barrow,0.0,US,1514053349.0,45,88.55,-163.77,68.0,16.35
351,kenai,1.0,US,1514051760.0,73,62.57,-155.12,26.6,16.11
352,hasaki,20.0,JP,1514050200.0,100,35.77,142.32,32.0,1.12
353,klaksvik,32.0,FO,1514051400.0,86,76.46,-2.80,41.0,17.22
354,kununurra,90.0,AU,1514052180.0,94,-17.99,128.35,80.6,3.36
357,kaitangata,48.0,NZ,1514053390.0,83,-52.87,171.61,53.7,3.27
358,avarua,75.0,CK,1514052000.0,69,-45.07,-160.74,77.0,10.29
359,albany,90.0,AU,1514052540.0,93,-85.46,101.04,39.2,5.73
360,kapaa,20.0,US,1514051760.0,100,9.98,-169.36,64.4,5.82
361,tabat,64.0,SD,1514053391.0,92,14.82,33.07,77.1,2.82
362,beloha,0.0,MG,1514053391.0,75,-34.85,40.92,75.9,9.42
363,puerto ayora,75.0,EC,1514052000.0,61,-15.50,-98.18,80.6,13.87
364,mombetsu,8.0,JP,1514053391.0,100,44.79,143.07,28.9,6.85
365,lensk,56.0,RU,1514053392.0,72,59.77,115.17,-11.2,3.04
366,olenegorsk,64.0,RU,1514053392.0,86,68.25,33.38,7.8,2.89
367,grindavik,75.0,IS,1514050200.0,100,54.16,-24.70,35.6,3.36
368,barrow,0.0,US,1514053349.0,45,76.18,-147.02,68.0,16.35
369,torbay,90.0,CA,1514052000.0,92,33.57,-44.45,26.6,6.93
370,mar del plata,0.0,AR,1514053348.0,34,-52.26,-50.03,67.7,14.79
371,hilo,20.0,US,1514051760.0,56,7.78,-154.51,73.4,9.17
372,san cristobal,40.0,EC,1514052000.0,43,-10.22,-91.58,69.8,20.8
373,thompson,5.0,CA,1514048400.0,67,78.70,-96.39,-27.4,8.05
374,dedovichi,88.0,RU,1514053393.0,90,57.35,29.87,31.5,22.39
375,danville,90.0,US,1514051700.0,72,36.76,-78.89,68.0,13.87
376,nueva imperial,0.0,CL,1514053394.0,65,-38.66,-72.94,62.7,12.1
377,new norfolk,75.0,AU,1514052000.0,71,-46.02,143.73,51.8,10.29
378,okha,0.0,RU,1514053394.0,87,54.20,142.13,-6.2,12.33
379,thompson,5.0,CA,1514048400.0,67,66.46,-95.38,-27.4,8.05
380,hilo,20.0,US,1514051760.0,56,17.04,-134.39,73.4,9.17
381,punta arenas,75.0,CL,1514048400.0,50,-85.08,-122.91,53.6,41.38
382,mocuba,44.0,MZ,1514053395.0,96,-18.19,38.77,76.2,3.0
383,shakawe,36.0,BW,1514053395.0,93,-19.03,21.37,73.1,3.0
384,hermanus,0.0,ZA,1514053325.0,70,-60.46,13.80,64.2,2.59
385,yellowknife,90.0,CA,1514052000.0,76,81.22,-99.13,-11.2,4.7
386,bonavista,12.0,CA,1514053396.0,100,51.12,-52.45,28.8,8.37
387,rikitea,100.0,PF,1514053325.0,100,-48.64,-111.45,77.3,10.54
388,saskylakh,68.0,RU,1514053396.0,62,82.56,117.33,-13.3,8.75
389,lebu,0.0,CL,1514053396.0,83,-36.08,-95.76,35.1,2.89
390,saint-philippe,90.0,RE,1514052840.0,92,-51.37,64.12,28.4,14.99
391,caborca,0.0,MX,1514053396.0,32,29.90,-112.57,55.8,4.12
392,jamestown,8.0,SH,1514053346.0,45,-34.19,-6.55,65.9,8.63
393,castro,68.0,CL,1514053327.0,69,-47.20,-82.84,56.5,4.34
395,port alfred,88.0,ZA,1514053156.0,91,-89.50,49.09,68.6,9.64
396,praia da vitoria,40.0,PT,1514052000.0,88,44.92,-22.90,62.6,9.42
397,aklavik,75.0,CA,1514052000.0,85,78.93,-143.93,15.8,10.29
398,busselton,0.0,AU,1514053329.0,100,-65.47,78.74,67.6,18.21
399,ilulissat,75.0,GL,1514051400.0,61,69.44,-46.30,17.6,8.05
400,albany,90.0,AU,1514052540.0,93,-39.53,120.24,39.2,5.73
401,kodiak,90.0,US,1514050320.0,79,43.49,-153.12,24.8,5.82
402,atuona,20.0,PF,1514053344.0,100,8.33,-131.64,78.8,9.08
403,severo-kurilsk,56.0,RU,1514053339.0,100,47.62,156.89,23.6,12.1
404,te anau,20.0,NZ,1514053398.0,85,-42.86,166.30,43.8,3.49
405,tasiilaq,75.0,GL,1514051400.0,79,70.41,-31.32,21.2,3.36
406,bethel,20.0,US,1514051580.0,64,52.74,-166.59,39.2,27.51
407,victoria,75.0,SC,1514050200.0,100,0.59,54.65,77.0,4.7
408,xifeng,24.0,CN,1514053398.0,71,42.14,125.04,17.6,4.79
409,ariquemes,68.0,BR,1514053398.0,75,-10.15,-62.99,83.9,2.89
410,ushuaia,75.0,AR,1514048400.0,58,-65.34,-41.07,53.6,11.41
412,broken hill,24.0,AU,1514053324.0,32,-26.88,140.82,67.8,6.29
413,aksarka,68.0,RU,1514053376.0,90,64.43,68.81,16.9,8.3
414,sitka,0.0,US,1514053325.0,58,48.52,-143.10,30.9,8.37
415,esperance,20.0,AU,1514052000.0,62,-30.25,124.64,84.2,14.99
417,port shepstone,44.0,ZA,1514053399.0,89,-32.79,34.06,72.8,10.54
418,punta arenas,75.0,CL,1514048400.0,50,-73.30,-116.45,53.6,41.38
419,punta arenas,75.0,CL,1514048400.0,50,-61.05,-110.61,53.6,41.38
420,bara,32.0,SD,1514053400.0,23,15.44,28.73,85.2,8.81
421,oistins,40.0,BB,1514052000.0,70,11.63,-57.35,84.2,21.92
422,mahebourg,40.0,MU,1514052000.0,94,-49.92,77.57,75.2,6.93
423,sao filipe,76.0,CV,1514053373.0,90,6.70,-30.24,75.3,17.2
424,dali,0.0,CN,1514053401.0,100,27.33,98.63,35.2,1.81
425,ushuaia,75.0,AR,1514048400.0,58,-86.42,-83.93,53.6,11.41
426,hobart,75.0,AU,1514052000.0,71,-86.77,145.02,51.8,10.29
427,leningradskiy,88.0,RU,1514053401.0,100,84.54,178.49,8.7,3.71
428,arraial do cabo,0.0,BR,1514052000.0,70,-55.17,-20.60,89.6,23.04
429,san patricio,92.0,MX,1514053387.0,100,15.18,-109.38,75.4,3.04
430,pevek,80.0,RU,1514053402.0,95,88.99,172.86,-5.3,7.81
431,cap malheureux,40.0,MU,1514052000.0,94,-17.69,56.35,75.2,6.93
433,kutum,0.0,SD,1514053142.0,29,15.35,25.85,66.1,8.3
434,port elizabeth,75.0,ZA,1514052420.0,87,-46.41,28.57,55.4,4.7
435,barrow,0.0,US,1514053349.0,45,77.39,-160.48,68.0,16.35
436,gushikawa,75.0,JP,1514051760.0,82,24.05,131.27,69.8,10.29
437,sitka,0.0,US,1514053325.0,58,41.73,-143.55,30.9,8.37
438,nikolskoye,90.0,RU,1514050200.0,92,52.85,169.19,30.2,13.42
439,cape town,0.0,ZA,1514052000.0,68,-54.83,-4.18,64.4,10.29
440,mitu,12.0,CO,1514053403.0,38,1.46,-70.81,49.9,9.31
441,cayenne,80.0,GF,1514052000.0,83,10.41,-44.60,80.6,12.75
442,airai,68.0,PW,1514053343.0,94,10.02,136.93,69.1,1.59
443,kapaa,20.0,US,1514051760.0,100,28.78,-173.40,64.4,5.82
444,albany,90.0,AU,1514052540.0,93,-62.19,115.86,39.2,5.73
445,rikitea,100.0,PF,1514053325.0,100,-81.69,-134.53,77.3,10.54
446,upernavik,56.0,GL,1514053404.0,100,84.32,-51.99,13.2,3.78
447,torbay,90.0,CA,1514052000.0,92,39.35,-44.00,26.6,6.93
449,bluff,0.0,NZ,1514053341.0,74,-86.42,153.39,71.9,6.4
450,mataura,0.0,PF,1514053334.0,81,-71.73,-161.94,49.9,3.38
451,port alfred,88.0,ZA,1514053156.0,91,-77.28,37.84,68.6,9.64
453,mount isa,75.0,AU,1514052000.0,61,-23.95,138.38,78.8,9.26
454,cabo san lucas,20.0,MX,1514051220.0,38,17.89,-110.76,75.2,16.11
455,tuktoyaktuk,40.0,CA,1514052000.0,92,87.47,-133.50,12.2,16.11
456,bosaso,0.0,SO,1514053405.0,99,10.19,47.92,76.0,13.85
458,amahai,56.0,ID,1514053405.0,100,-3.90,129.99,80.9,7.4
459,hermanus,0.0,ZA,1514053325.0,70,-57.89,14.10,64.2,2.59
460,hobart,75.0,AU,1514052000.0,71,-89.10,148.09,51.8,10.29
461,ushuaia,75.0,AR,1514048400.0,58,-88.89,-26.32,53.6,11.41
462,shirokiy,64.0,RU,1514053406.0,95,65.85,147.97,20.9,8.86
463,busselton,0.0,AU,1514053329.0,100,-78.58,89.02,67.6,18.21
464,vaini,0.0,TO,1514053340.0,64,-29.09,-169.31,64.0,3.89
465,antalaha,92.0,MG,1514053406.0,89,-13.93,54.23,78.5,5.23
466,lakes entrance,0.0,AU,1514053336.0,71,-38.56,149.59,66.2,4.61
467,port elizabeth,75.0,ZA,1514052420.0,87,-67.63,30.55,55.4,4.7
468,mahebourg,40.0,MU,1514052000.0,94,-32.51,67.02,75.2,6.93
469,iqaluit,20.0,CA,1514052000.0,68,63.03,-68.98,-18.4,4.7
470,hermanus,0.0,ZA,1514053325.0,70,-80.02,8.33,64.2,2.59
471,aklavik,75.0,CA,1514052000.0,85,73.10,-142.60,15.8,10.29
472,ushuaia,75.0,AR,1514048400.0,58,-52.14,-57.27,53.6,11.41
473,kidal,44.0,ML,1514053407.0,23,18.15,3.36,64.5,9.82
474,kununurra,90.0,AU,1514052180.0,94,-19.57,126.85,80.6,3.36
475,henties bay,56.0,NA,1514053407.0,94,-23.11,5.30,62.7,6.85
476,torbay,90.0,CA,1514052000.0,92,34.23,-44.11,26.6,6.93
477,kodiak,90.0,US,1514050320.0,79,51.53,-159.24,24.8,5.82
479,jutai,68.0,BR,1514053407.0,84,-6.05,-67.80,81.6,4.38
480,kodiak,90.0,US,1514050320.0,79,42.41,-160.16,24.8,5.82
481,bredasdorp,0.0,ZA,1514052000.0,56,-63.22,15.92,68.0,9.17
482,ponta do sol,92.0,CV,1514053355.0,78,21.65,-25.90,77.2,6.24
483,hermanus,0.0,ZA,1514053325.0,70,-77.00,10.47,64.2,2.59
485,buta,0.0,CD,1514053408.0,58,1.88,25.22,83.5,2.89
486,kerugoya,8.0,KE,1514053408.0,72,-0.30,37.35,58.5,3.27
487,longyearbyen,75.0,SJ,1514051400.0,93,89.82,23.48,32.0,17.22
488,yellowknife,90.0,CA,1514052000.0,76,85.69,-100.29,-11.2,4.7
489,hermanus,0.0,ZA,1514053325.0,70,-76.12,7.05,64.2,2.59
490,rikitea,100.0,PF,1514053325.0,100,-38.90,-122.05,77.3,10.54
491,bathsheba,40.0,BB,1514052000.0,70,20.00,-47.24,84.2,21.92
492,butaritari,88.0,KI,1514053324.0,100,24.89,170.16,82.4,18.43
493,rikitea,100.0,PF,1514053325.0,100,-78.99,-137.68,77.3,10.54
494,kapaa,20.0,US,1514051760.0,100,17.98,-177.02,64.4,5.82
495,presidencia roque saenz pena,68.0,AR,1514053409.0,86,-28.20,-61.63,78.9,18.37
496,clyde river,90.0,CA,1514051760.0,74,69.39,-83.78,-22.0,5.82
497,arraial do cabo,0.0,BR,1514052000.0,70,-31.21,-29.34,89.6,23.04
498,mar del plata,0.0,AR,1514053348.0,34,-41.98,-53.19,67.7,14.79
500,shingu,80.0,JP,1514053384.0,100,28.94,137.18,54.2,5.12
501,sao filipe,76.0,CV,1514053373.0,90,11.21,-36.24,75.3,17.2
502,tingo maria,20.0,PE,1514052000.0,62,-8.81,-76.01,84.2,1.99
503,zalegoshch,68.0,RU,1514053411.0,91,53.06,36.80,21.9,7.58
504,lebu,0.0,CL,1514053396.0,83,-35.61,-90.36,35.1,2.89
506,sur,0.0,OM,1514053411.0,100,15.45,63.65,69.9,3.0
507,barrow,0.0,US,1514053349.0,45,73.36,-164.93,68.0,16.35
508,butaritari,88.0,KI,1514053324.0,100,8.39,174.99,82.4,18.43
510,aberdeen,1.0,US,1514051580.0,67,45.64,-98.78,17.6,9.17
511,thompson,5.0,CA,1514048400.0,67,60.40,-98.94,-27.4,8.05
512,hobart,75.0,AU,1514052000.0,71,-77.23,144.80,51.8,10.29
513,tiznit,0.0,MA,1514053412.0,79,28.12,-9.04,56.6,2.77
514,edd,0.0,ER,1514053412.0,52,14.46,42.39,66.0,4.34
515,qaanaaq,0.0,GL,1514053362.0,100,78.71,-70.72,-11.5,9.53
516,kishi,0.0,NG,1514053413.0,37,9.79,4.54,81.2,3.49
517,bandarbeyla,0.0,SO,1514053413.0,99,6.45,53.88,77.1,27.87
518,souillac,90.0,MU,1514052000.0,76,-56.22,74.96,50.0,4.7
519,puerto ayora,75.0,EC,1514052000.0,61,-16.28,-102.28,80.6,13.87
520,tuktoyaktuk,40.0,CA,1514052000.0,92,78.10,-127.10,12.2,16.11
521,ballater,75.0,GB,1514051400.0,71,57.02,-3.20,55.4,12.75
523,le port,8.0,RE,1514053414.0,88,-19.13,53.84,24.6,1.59
524,qaanaaq,0.0,GL,1514053362.0,100,86.85,-79.06,-11.5,9.53
525,alyangula,56.0,AU,1514053414.0,100,-14.92,138.58,83.8,8.25
526,flinders,56.0,AU,1514048400.0,100,-37.55,130.22,64.4,3.71
527,busselton,0.0,AU,1514053329.0,100,-63.23,79.07,67.6,18.21
528,adrar,0.0,DZ,1514052000.0,22,30.02,0.26,55.4,6.93
529,san patricio,92.0,MX,1514053387.0,100,3.70,-119.53,75.4,3.04
530,ushuaia,75.0,AR,1514048400.0,58,-61.80,-67.86,53.6,11.41
531,ushuaia,75.0,AR,1514048400.0,58,-65.36,-69.60,53.6,11.41
532,la rioja,92.0,AR,1514053415.0,100,-30.44,-66.35,66.6,6.51
533,bluff,0.0,NZ,1514053341.0,74,-87.91,166.37,71.9,6.4
534,yangjiang,44.0,CN,1514053415.0,98,21.48,111.83,63.7,7.63
536,rio gallegos,0.0,AR,1514048400.0,51,-49.93,-66.63,59.0,23.04
538,thunder bay,20.0,CA,1514052000.0,51,49.27,-89.36,14.0,16.11
539,bud,90.0,NO,1514051400.0,93,65.82,5.58,37.4,6.93
540,severo-kurilsk,56.0,RU,1514053339.0,100,30.58,167.83,23.6,12.1
541,maku,40.0,IR,1514047920.0,65,38.86,44.57,46.4,44.96
543,ushuaia,75.0,AR,1514048400.0,58,-67.82,-29.79,53.6,11.41
544,smoky lake,44.0,CA,1514053417.0,79,54.20,-112.48,14.4,9.53
545,biloela,0.0,AU,1514053417.0,87,-23.91,150.21,65.9,3.27
546,grindavik,75.0,IS,1514050200.0,100,52.63,-27.60,35.6,3.36
547,puerto penasco,0.0,MX,1514053418.0,100,30.75,-113.98,57.2,9.82
548,dingle,56.0,IE,1514053418.0,96,50.76,-16.23,75.9,5.39
549,verkhnyaya inta,88.0,RU,1514053418.0,87,64.26,60.98,19.7,3.49
550,nikolskoye,90.0,RU,1514050200.0,92,38.86,169.53,30.2,13.42
551,the valley,40.0,AI,1514052000.0,65,22.08,-60.55,84.2,16.11
552,ahuimanu,20.0,US,1514051820.0,69,32.88,-153.59,73.4,5.82
553,qaanaaq,0.0,GL,1514053362.0,100,80.79,-77.53,-11.5,9.53
554,byron bay,0.0,AU,1514052000.0,88,-28.63,156.68,71.6,6.93
555,quatre cocos,40.0,MU,1514048400.0,88,-18.49,66.97,77.0,5.82
556,foz,0.0,ES,1514053420.0,100,43.48,-7.14,54.3,12.77
558,albany,90.0,AU,1514052540.0,93,-79.82,108.11,39.2,5.73
559,goulburn,76.0,AU,1514053219.0,78,-34.28,149.85,59.9,2.71
560,menongue,92.0,AO,1514053420.0,84,-14.88,16.68,67.1,5.35
561,barrow,0.0,US,1514053349.0,45,71.61,-159.27,68.0,16.35
562,butaritari,88.0,KI,1514053324.0,100,29.28,171.36,82.4,18.43
563,narsaq,20.0,GL,1514051400.0,49,83.55,-66.64,26.6,3.36
564,geilo,48.0,NO,1514053421.0,86,60.24,7.77,35.7,9.53
565,mount isa,75.0,AU,1514052000.0,61,-17.17,138.89,78.8,9.26
566,butaritari,88.0,KI,1514053324.0,100,14.59,173.13,82.4,18.43
567,chokurdakh,68.0,RU,1514053421.0,78,80.07,149.20,-3.9,14.12
568,rikitea,100.0,PF,1514053325.0,100,-51.35,-132.95,77.3,10.54
569,ushuaia,75.0,AR,1514048400.0,58,-60.24,-52.81,53.6,11.41
571,derzhavinsk,92.0,KZ,1514053422.0,86,50.32,67.62,11.9,6.35
572,torbay,90.0,CA,1514052000.0,92,34.35,-47.61,26.6,6.93
573,puerto ayora,75.0,EC,1514052000.0,61,-6.67,-109.68,80.6,13.87
575,waipawa,0.0,NZ,1514053423.0,90,-46.41,179.34,53.5,4.56
577,derzhavinsk,92.0,KZ,1514053422.0,86,50.25,65.45,11.9,6.35
578,vaini,0.0,TO,1514053340.0,64,-31.49,-174.22,64.0,3.89
579,rikitea,100.0,PF,1514053325.0,100,-53.44,-131.32,77.3,10.54
580,upernavik,56.0,GL,1514053404.0,100,78.54,-49.95,13.2,3.78
581,ushuaia,75.0,AR,1514048400.0,58,-87.98,-15.06,53.6,11.41
582,carnarvon,0.0,AU,1514053423.0,12,-21.48,96.58,70.5,8.25
583,nuqui,36.0,CO,1514053424.0,100,5.52,-77.85,79.8,6.13
584,mataura,0.0,PF,1514053334.0,81,-26.67,-150.89,49.9,3.38
585,porto novo,40.0,CV,1514052000.0,40,12.83,-37.45,89.6,13.87
586,hermanus,0.0,ZA,1514053325.0,70,-81.98,-5.53,64.2,2.59
587,albany,90.0,AU,1514052540.0,93,-76.57,96.20,39.2,5.73
588,busselton,0.0,AU,1514053329.0,100,-85.42,78.93,67.6,18.21
590,bluff,0.0,NZ,1514053341.0,74,-63.99,159.53,71.9,6.4
591,urusha,32.0,RU,1514053425.0,36,55.46,122.91,-24.9,2.55
592,morshansk,76.0,RU,1514053425.0,86,53.37,41.73,20.2,4.38
593,saint george,20.0,BM,1514051400.0,74,32.25,-53.00,37.4,9.17
594,ponta do sol,92.0,CV,1514053355.0,78,17.71,-27.00,77.2,6.24
595,port alfred,88.0,ZA,1514053156.0,91,-73.67,40.00,68.6,9.64
596,usogorsk,80.0,RU,1514053425.0,91,64.58,48.47,21.9,4.0
597,rikitea,100.0,PF,1514053325.0,100,-41.45,-133.33,77.3,10.54
598,rikitea,100.0,PF,1514053325.0,100,-77.11,-127.11,77.3,10.54
599,witbank,76.0,ZA,1514053426.0,56,-25.83,29.14,72.7,1.21
